page_id,id,page_type,url,error_alt_area_missing,error_alt_input_missing,error_alt_link_missing,error_alt_map_missing,error_alt_missing,error_alt_spacer_missing,error_aria_menu_broken,error_aria_reference_broken,error_blink,error_button_empty,error_heading_empty,error_label_empty,error_label_missing,error_label_multiple,error_language_missing,error_link_empty,error_link_skip_broken,error_marquee,error_meta_refresh,error_th_empty,error_title_invalid
31_latest_issue,31,latest_issue,https://www.thelancet.com/issue/S0140-6736(23)X0046-4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
154_home,154,home,https://jamanetwork.com/journals/jama,0.0,0.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,31.0,27.0,1.0,12.0,6.0,-1.0,261.0,261.0,-1.0,-1.0,0.0,-1.0
154_research_article,154,research_article,https://jamanetwork.com/journals/jama/fullarticle/2810756,0.0,0.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0,37.0,35.0,1.0,12.0,6.0,-1.0,303.0,303.0,-1.0,-1.0,0.0,-1.0
154_none_research_article,154,none_research_article,https://jamanetwork.com/journals/jama/fullarticle/2812402,0.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,35.0,34.0,1.0,12.0,6.0,-1.0,343.0,343.0,-1.0,-1.0,0.0,-1.0
154_article_search_result,154,article_search_result,https://jamanetwork.com/searchresults?q=data&allSites=1&SearchSourceType=1&exPrm_qqq={DEFAULT_BOOST_FUNCTION}%22data%22&exPrm_hl.q=data,0.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,32.0,51.0,7.0,69.0,12.0,-1.0,269.0,269.0,-1.0,-1.0,0.0,-1.0
154_latest_issue,154,latest_issue,https://jamanetwork.com/journals/jama/currentissue,0.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,31.0,68.0,1.0,13.0,6.0,-1.0,369.0,369.0,-1.0,-1.0,0.0,-1.0
119_home,119,home,https://www.ahajournals.org/journal/circ,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
119_research_article,119,research_article,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.123.065603,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
119_none_research_article,119,none_research_article,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.123.067528,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
119_article_search_result,119,article_search_result,https://www.ahajournals.org/action/doSearch?AllField=data&startPage=&SeriesKey=circ,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
119_latest_issue,119,latest_issue,https://www.ahajournals.org/toc/circ/148/21,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
21_home,21,home,https://www.nature.com/ng/,0.0,0.0,34.0,0.0,34.0,34.0,0.0,0.0,0.0,5.0,66.0,4.0,4.0,4.0,-1.0,137.0,137.0,-1.0,-1.0,0.0,-1.0
21_research_article,21,research_article,https://www.nature.com/articles/s41588-023-01559-9,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,11.0,86.0,4.0,4.0,4.0,-1.0,861.0,861.0,-1.0,-1.0,0.0,-1.0
21_none_research_article,21,none_research_article,https://www.nature.com/articles/s41588-023-01599-1,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,10.0,27.0,4.0,4.0,4.0,-1.0,194.0,194.0,-1.0,-1.0,0.0,-1.0
21_article_search_result,21,article_search_result,https://www.nature.com/search?q=data&journal=,0.0,0.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,19.0,66.0,52.0,52.0,52.0,-1.0,116.0,116.0,-1.0,-1.0,0.0,-1.0
21_latest_issue,21,latest_issue,https://www.nature.com/nature/volumes/623/issues/7988,0.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,8.0,99.0,4.0,4.0,4.0,-1.0,181.0,181.0,-1.0,-1.0,0.0,-1.0
107_home,107,home,https://academic.oup.com/nar,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,6.0,28.0,0.0,4.0,4.0,-1.0,213.0,213.0,-1.0,-1.0,0.0,-1.0
107_research_article,107,research_article,https://academic.oup.com/nar/article/51/20/10867/6613920,0.0,0.0,28.0,0.0,28.0,28.0,0.0,0.0,0.0,20.0,42.0,1.0,14.0,15.0,-1.0,1038.0,1038.0,-1.0,-1.0,26.0,-1.0
107_article_search_result,107,article_search_result,https://academic.oup.com/nar/search-results?page=1&q=data&fl_SiteID=5127&SearchSourceType=1&allJournals=1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,35.0,32.0,0.0,124.0,157.0,-1.0,258.0,258.0,-1.0,-1.0,0.0,-1.0
