id,source_id
1455,dc_7136
1456,dc_4773
1457,dc_4869
1458,dc_301
1459,dc_1934
1460,dc_202
1461,dc_642
1462,dc_1482
1463,dc_523
1464,dc_5125
1465,dc_905
1466,dc_3410
1467,dc_4439
1468,dc_3746
1469,dc_4560
1470,dc_8682
1471,dc_5631
1472,dc_5452
1473,dc_3339
1474,dc_1948
1475,dc_4028
1476,dc_4705
1477,dc_466
1478,dc_1481
1479,dc_7430
1480,dc_7517
1481,dc_7542
1482,dc_7394
1483,dc_7395
1484,dc_7495
1485,dc_6430
1486,dc_6431
1487,dc_6207
1488,dc_6242
1489,dc_6085
1490,dc_6086
1491,dc_1819
1492,dc_3731
1493,dc_2993
1494,dc_55
1495,dc_5211
1496,dc_4449
1497,dc_4662
1498,dc_5385
1499,dc_4861
1500,dc_1050
1501,dc_4147
1502,dc_463
1503,dc_1959
1504,dc_5359
1505,dc_700
1506,dc_2027
1507,dc_1001
1508,dc_3103
1509,dc_3046
1510,dc_1259
1511,dc_394
1512,dc_3323
1513,dc_7188
1514,dc_7043
1515,dc_4501
1516,dc_233
1517,dc_4050
1518,dc_7244
1519,dc_7298
1520,dc_7308
1521,dc_7073
1522,dc_4681
1523,dc_4278
1524,dc_1779
1525,dc_1628
1526,dc_4049
1527,dc_1289
1528,dc_667
1529,dc_6490
1530,dc_916
1531,dc_264
1532,dc_164
1533,dc_440
1534,dc_6114
1535,dc_308
1536,dc_286
1537,dc_3471
1538,dc_554
1539,dc_166
1540,dc_3523
1541,dc_3107
1542,dc_1578
1543,dc_1609
1544,dc_3524
1545,dc_646
1546,dc_647
1547,dc_680
1548,dc_4811
1549,dc_3178
1550,dc_3693
1551,dc_1940
1552,dc_1775
1553,dc_3449
1554,dc_1443
1555,dc_5456
1556,dc_4
1557,dc_73
1558,dc_278
1559,dc_3059
1560,dc_277
1561,dc_1069
1562,dc_1953
1563,dc_3904
1564,dc_970
1565,dc_3437
1566,dc_300
1567,dc_5892
1568,dc_5389
1569,dc_1183
1570,dc_8285
1571,dc_7704
1572,dc_8055
1573,dc_7844
1574,dc_7883
1575,dc_7930
1576,dc_7696
1577,dc_8216
1578,dc_7966
1579,dc_7246
1580,dc_7514
1581,dc_7266
1582,dc_7534
1583,dc_7305
1584,dc_7584
1585,dc_7142
1586,dc_7666
1587,dc_6741
1588,dc_7515
1589,dc_7307
1590,dc_6156
1591,dc_6248
1592,dc_6508
1593,dc_6093
1594,dc_4387
1595,dc_6507
1596,dc_3531
1597,dc_6028
1598,dc_5031
1599,dc_3760
1600,dc_5971
1601,dc_2013
1602,dc_6
1603,dc_4657
1604,dc_4464
1605,dc_305
1606,dc_4336
1607,dc_357
1608,dc_3255
1609,dc_5804
1610,dc_1128
1611,dc_3486
1612,dc_697
1613,dc_3601
1614,dc_3864
1615,dc_4181
1616,dc_614
1617,dc_3857
1618,dc_550
1619,dc_3671
1620,dc_853
1621,dc_4807
1622,dc_1593
1623,dc_3940
1624,dc_4872
1625,dc_7541
1626,dc_7354
1627,dc_4335
1628,dc_5
1629,dc_3896
1630,dc_1971
1631,dc_1850
1632,dc_671
1633,dc_684
1634,dc_4029
1635,dc_1437
1636,dc_5061
1637,dc_3024
1638,dc_5040
1639,dc_3803
1640,dc_6880
1641,dc_6120
1642,dc_8507
1643,dc_346
1644,dc_3690
1645,dc_3724
1646,dc_3017
1647,dc_5786
1648,dc_1354
1649,dc_5541
1650,dc_252
1651,dc_4694
1652,dc_4825
1653,dc_6442
1654,dc_6449
1655,dc_6203
1656,dc_6529
1657,dc_6581
1658,dc_6112
1659,dc_5163
1660,dc_9021
1661,dc_5191
1662,dc_1695
1663,dc_618
1664,dc_590
1665,dc_5404
1666,dc_5911
1667,dc_5259
1668,dc_3753
1669,dc_5286
1670,dc_3135
1671,dc_791
1672,dc_4693
1673,dc_5672
1674,dc_570
1675,dc_1529
1676,dc_1556
1677,dc_6771
1678,dc_7069
1679,dc_7350
1680,dc_7162
1681,dc_7682
1682,dc_6414
1683,dc_7261
1684,dc_7090
1685,dc_7107
1686,dc_7131
1687,dc_7137
1688,dc_1813
1689,dc_5017
1690,dc_4655
1691,dc_4085
1692,dc_1625
1693,dc_1526
1694,dc_28
1695,dc_5203
1696,dc_84
1697,dc_106
1698,dc_4440
1699,dc_3842
1700,dc_4386
1701,dc_3715
1702,dc_6794
1703,dc_4009
1704,dc_4666
1705,dc_3189
1706,dc_1543
1707,dc_833
1708,dc_4803
1709,dc_5831
1710,dc_5582
1711,dc_3572
1712,dc_5375
1713,dc_7976
1714,dc_7469
