category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap19,publications,aria-valid-attr-value,0,10,10,0
hubmap,hubmap19,publications,aria-valid-attr,0,10,10,0
hubmap,hubmap19,publications,avoid-inline-spacing,0,3,3,0
hubmap,hubmap19,publications,button-name,0,6,6,0
hubmap,hubmap19,publications,bypass,0,1,1,0
hubmap,hubmap19,publications,color-contrast,0,35,35,0
hubmap,hubmap19,publications,document-title,0,1,1,0
hubmap,hubmap19,publications,duplicate-id-aria,0,4,4,0
hubmap,hubmap19,publications,empty-heading,0,6,6,0
hubmap,hubmap19,publications,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap19,publications,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap19,publications,landmark-unique,0,1,1,0
hubmap,hubmap19,publications,link-in-text-block,0,1,1,0
hubmap,hubmap19,publications,link-name,0,23,23,0
hubmap,hubmap19,publications,meta-viewport-large,0,1,1,0
hubmap,hubmap19,publications,meta-viewport,0,1,1,0
hubmap,hubmap19,publications,nested-interactive,0,6,6,0
hubmap,hubmap19,publications,page-has-heading-one,0,1,1,0
hubmap,hubmap19,publications,scrollable-region-focusable,0,1,1,0
hubmap,hubmap19,publications,tabindex,0,6,6,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap1,cells,heading-order,1,8,9,0.1111111111111111
hubmap,hubmap1,cells,html-has-lang,1,0,1,1
hubmap,hubmap1,cells,landmark-one-main,1,0,1,1
hubmap,hubmap1,cells,region,18,82,100,0.18
hubmap,hubmap1,cells,aria-allowed-attr,0,11,11,0
hubmap,hubmap1,cells,aria-allowed-role,0,10,10,0
hubmap,hubmap1,cells,aria-command-name,0,3,3,0
hubmap,hubmap1,cells,aria-conditional-attr,0,11,11,0
hubmap,hubmap1,cells,aria-deprecated-role,0,5,5,0
hubmap,hubmap1,cells,aria-hidden-body,0,1,1,0
hubmap,hubmap1,cells,aria-hidden-focus,0,39,39,0
hubmap,hubmap1,cells,aria-input-field-name,0,1,1,0
hubmap,hubmap1,cells,aria-prohibited-attr,0,11,11,0
hubmap,hubmap1,cells,aria-required-attr,0,5,5,0
hubmap,hubmap1,cells,aria-roles,0,5,5,0
hubmap,hubmap1,cells,aria-valid-attr-value,0,11,11,0
hubmap,hubmap1,cells,aria-valid-attr,0,11,11,0
hubmap,hubmap1,cells,avoid-inline-spacing,0,2,2,0
hubmap,hubmap1,cells,button-name,0,7,7,0
hubmap,hubmap1,cells,bypass,0,1,1,0
hubmap,hubmap1,cells,color-contrast,0,31,31,0
hubmap,hubmap1,cells,document-title,0,1,1,0
hubmap,hubmap1,cells,duplicate-id-aria,0,12,12,0
hubmap,hubmap1,cells,empty-heading,0,9,9,0
hubmap,hubmap1,cells,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap1,cells,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap1,cells,landmark-unique,0,2,2,0
hubmap,hubmap1,cells,link-name,0,15,15,0
hubmap,hubmap1,cells,meta-viewport-large,0,1,1,0
hubmap,hubmap1,cells,meta-viewport,0,1,1,0
hubmap,hubmap1,cells,nested-interactive,0,10,10,0
hubmap,hubmap1,cells,page-has-heading-one,0,1,1,0
hubmap,hubmap1,cells,tabindex,0,11,11,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap20,publication,heading-order,4,30,34,0.11764705882352941
hubmap,hubmap20,publication,html-has-lang,1,0,1,1
hubmap,hubmap20,publication,landmark-banner-is-top-level,2,1,3,0.6666666666666666
hubmap,hubmap20,publication,landmark-main-is-top-level,2,0,2,1
hubmap,hubmap20,publication,landmark-no-duplicate-banner,1,0,1,1
hubmap,hubmap20,publication,landmark-no-duplicate-main,1,0,1,1
hubmap,hubmap20,publication,landmark-unique,3,1,4,0.75
